"","Delta.price","Earnings.Per.Share.USD","Dividends.USD","Book.Value.Per.Share...USD","Return.on.Assets..","Return.on.Equity..","Return.on.Invested.Capital..","Debt.Equity","Revenue.USD.Mil"
"210",1.24062375428047,0.694915254,2.5,0.540308748,0.147368421,0.10273327,-0.113191049124365,0.516129032,0.646541842
"211",2.28556510562975,-0.746268657,0,0.78125,-0.868035191,-0.848915831,-0.873156342,1.033962264,0.395514341
"212",1.33128775561112,0.197183099,0,-0.168669528,-0.351184346,0.37591914358427,-0.113191049124365,1.63375209003483,0.341721528
"213",-0.117509378007195,-0.317829457,-0.229166667,-0.455637708,-0.173134328,0.211783439,-0.269645609,0.704545455,0.007536232
"215",-0.331384921130658,-3.618762475,1.5,-0.24765343,-4.485776805,-4.330920372,-3.363961814,0.8125,-0.857900484
"216",0.0915989389772797,-0.295950156,2.882352941,0.131677019,-0.452054795,-0.538062284,-0.541728213,1.043478261,-0.077007772
"217",1.25859025028495,-7.15,1.35,-0.038430904,-8,-8.006802721,-0.113191049124365,0.206896552,-0.223477744
"219",0.378990864683893,0.184313725,2.106382979,-0.020390071,-0.162679426,0.07027027,-0.206185567,0.566037736,0.063064759
"220",1.19647990605461,3.474576271,0,-0.070535714,2.659259259,4.496415771,1.655737705,0.549019608,0.709893795
"221",1.50913224484746,-0.180076628,1,0.865116279,-0.45112782,-0.530909091,-0.630651341,0.140625,0.109638917
"222",0.00888142793546819,-1.30075188,10.2,0.281270465,-1.209178228,-1.208537439,-1.192846034,0.714285714,-0.290487421
"223",0.191429066452725,-0.554216867,0.325,-1.13556701,0.464991023,0.37591914358427,-0.113191049124365,1.63375209003483,-0.590899446
"224",0.720480791540153,0.458015267,0.466666667,-2.151785714,0.889460154,0.37591914358427,-0.113191049124365,1.63375209003483,-0.165934066
"225",1.42433048312765,0.804597701,1.615384615,0.787276342,0.11023622,-0.037333333,-0.025553663,-0.444444444,0.161241292
"226",1.78991408769531,-0.034782609,1.12,0.238434164,-0.535250464,-0.262863981,-0.4297164,0.546666667,-0.004219409
"227",1.48694178143858,0.291457286,0,0.388101983,-0.294191919,-0.044795784,-0.238059136,1.133333333,0.460961313
"228",0.203215779490495,-39,4.714285714,-0.002083333,-41.66666667,-36.13043478,1.545098039,-0.348837209,0.077831132
"229",0.94811791658117,0.335766423,0.847826087,-0.053398058,-0.023480663,0.281497981,-0.113050377,0.09223301,0.235816478
"230",2.11983911354016,0.986997636,1.52,0.699645168,0.10965435,0.259239704,-0.113191049124365,1.285714286,0.4597904
"231",-0.0776149353734393,-0.529862175,1.034482759,0.110647182,-0.656272661,-0.562848972,-0.691813804,0.98245614,-0.259802088
"232",1.62910022502715,2.065217391,0,2.341047503,0.938271605,-0.108796296,-0.17219917,-0.074074074,3.396382818
