,Company,Earnings Per Share USD,Dividends USD,Book Value Per Share * USD,Return on Assets %,Return on Equity %,Return on Invested Capital %,Debt/Equity,Revenue USD Mil
75,BK,0.832512315,0.791666667,0.310233393,0.261363636,0.402614379,,0.121212121,0.026748133
76,BA,1.514981273,2.380952381,-0.770287141,0.659889094,,1.775575221,8.666666667,0.35872554
77,BWA,-0.063063063,,0.638086643,-0.506276151,-0.46410473,-0.508615567,0.806451613,0.377424796
78,BXP,0.575268817,0.487804878,0.11878453,0.216494845,0.36779661,0.036964981,0.022346369,0.478409091
79,BSX,-0.724137931,,-0.305660377,-0.724137931,-0.611825193,-0.734693878,0.421052632,0.187090003
80,BHF,,,,,,,,
81,BMY,-0.717592593,0.180451128,-0.075203252,-0.7417962,-0.692143467,-0.721590909,0.735294118,-0.02202975
82,AVGO,0.835616438,10.65714286,4.9375,-0.864887406,-0.72519084,-0.79878255,,6.549657534
83,BR,1.045454545,1.2,0.254263566,0.182115594,0.508514664,0.422204214,5.875,0.911859714
84,CA,0.149068323,5.375,0.205540661,-0.057184751,-0.112820513,-0.180511182,1.130434783,-0.088733348
85,COG,-0.24137931,4.666666667,0.171428571,-0.306122449,-0.36038961,-0.732984293,0.066666667,0.782653061
86,CDNS,1.703703704,,1.594202899,1.183574879,0.122857143,0.108974359,1.03125,0.689565217
87,CPB,0.194214876,0.217391304,0.481927711,-0.069387755,-0.298223668,-0.160929817,-0.313901345,0.022153129
88,COF,-0.486764706,7,0.617347738,-0.696774194,-0.681368137,,0.351648352,0.632576687
89,CAH,0.481617647,1.2625,0.262304922,-0.225446429,0.118329466,-0.265050167,2.594594595,0.266279568
90,KMX,0.975757576,,0.592118227,-0.496917386,0.15640599,-0.669966997,1.235294118,0.768605169
91,CCL,0.483471074,0.6,0.097815455,0.302788845,0.363970588,0.234442836,-0.147058824,0.108719053
92,CAT,-0.82972973,0.722222222,0.195701875,-0.853982301,-0.864806351,-0.828380386,-0.103092784,-0.244038711
93,CBOE,1.427631579,,,-0.705581594,-0.650875075,-0.78125,,3.387795276
94,CBRE,1.743243243,,2.387878788,0.600515464,-0.153316107,0.377311961,-0.779735683,1.406435224
95,CBS,-0.541666667,1.057142857,-0.485526316,-0.683366733,-0.047619048,-0.503012048,6.966666667,-0.038820639
96,CELG,1.545454545,,1.023400936,-0.226646248,0.896641954,-0.155367232,8.956521739,1.685460553
97,CNC,3.424528302,,3.3156708,-0.267657993,0.010108865,-0.110029211,0.864864865,8.058603258
98,CNP,0.302839117,0.35443038,-0.150809717,0.238828968,0.20256971,0.12228057,-0.146341463,0.137751479
99,CTL,1.065420561,-0.255172414,-0.65887982,0.544217687,1.002659574,-0.719512195,0.54368932,0.150153084
100,CERN,1.920454545,,1.10906298,0.267020336,0.367697595,0.291728213,1.75,1.334089877
101,CF,-0.651480638,5,0.042210284,-0.855990783,-0.71125384,-1.28566108,2.638888889,-0.322617681
102,SCHW,1.3,0.333333333,0.882059801,0.081395349,0.197580645,,0.153846154,0.780379747
103,CHTR,-11.89910979,,98.44171779,-4.656410256,-1.273678414,-5.284482759,-0.978362029,4.730943497
104,CVX,-0.639136905,0.398058252,0.262372992,-0.737536657,-0.736421053,-0.768450185,1.875,-0.453306974
105,CMG,-0.087278107,,0.547529706,-0.486966825,-0.450151057,-0.451571244,,0.971806167
106,CHRW,0.36259542,0.508333333,0.25128866,-0.389846743,0.069034091,-0.433522727,,0.438564241
